a_from;csn_from;a_to;csn_to;sa_to;plural
;;;;;
an;Angler;einen;Angler;der;
an;Island Lizard;eine;Inselechse;die;
a;Jungle Spiker;einen;Dschungelnadler;der;
a;Skitterclaw;einen;Skitterclaw;der;
a;Skitterling;einen;Skitterling;der;
a;Mhulliq;einen;Mhulliq;der;
a;Monstrous Rat;eine;Monströse Ratte;die;
a;Rending Mhulliq;einen;Reißenden Mhulliq;der;
a;Snow Boar;einen;Schneekeiler;der;
a;Thunder Lizard;eine;Donnerechse;die;
a;Varg;einen;Varg;der;
a;Jungle Angler;einen;Dschungelangler;der;
a;Shadow Angler;einen;Schattenangler;der;
a;Leetch;einen;Leetch;der;
a;Chitterskrag;einen;Chitterskrag;der;
an;Immature Chitterskrag;einen;Unreifen Chitterskrag;der;
a;Spewing Chitterskrag;einen;Spuckenden Chitterskrag;der;
an;Emerald Spider;eine;Smaragdspinne;die;
an;Ice Grub;eine;Eislarve;die;
an;Ice Moth;eine;Eismotte;die;
a;Swarmling Drone;eine;Swarmlingdrohne;die;
a;Swarmling Queen;eine;Swarmlingkönigin;die;
;Swirling Midges;;Wirbelmücken;die;x
a;Widow Spider;eine;Witwenspinne;die;
a;Swarmling;einen;Swarmling;der;
a;Flying Gritch;einen;Fliegenden Gritch;der;
a;Greater Scrub Scorpion;einen;Großen Buschskorpion;der;
a;Lesser Scrub Scorpion;einen;Kleinen Buschskorpion;der;
a;Sandskreech;einen;Sandskreech;der;
;;;;;
a;Large Twisted Mucosa;einen;Großen verdrehten Mucosa;der;
a;Rune Fiend;einen;Runendämon;der;
;Whelnar's Eyes;;Whelnars Augen;die;x
a;Bookas;einen;Bookas;der;
a;Slithermage Master;einen;Slithermage-Meister;der;
;;;;;
a;Bog Beast;eine;Schlammbestie;die;
a;Cobble Man;einen;Pflastermann;der;
a;Marble Golem;einen;Marmorgolem;der;
;;;;;
a;Jungle Slinger;eine;Dschungelschleuder;die;
a;Zaurask Claw;eine;Zauraskerklaue;die;
a;Zaurask Archer;einen;Zauraskerbogenschützen;der;
a;Zaurask Incanter;einen;Zauraskerbeschwörer;der;
a;Gulik;einen;Gulik;der;
a;Hassat Runner;einen;Hassati-Läufer;der;
a;Hassat Hunter;einen;Hassati-Jäger;der;
a;Hassat Panther;einen;Hassati-Panther;der;
a;Hassat Shaman;einen;Hassati-Schamanen;der;
a;Zaurask Fang;einen;Zauraskerfangzahn;der;
a;Zaurask Adept;einen;Zauraskeradept;der;
a;Zaurask Spine;eine;Zauraskerspindel;die;
a;Zaurask Slavemaster;einen;Zauraskersklavenmeister;der;
a;Hassat Slicer;einen;Hassati-Schlitzer;der;
a;Hassat Archer;einen;Hassati-Bogenschützen;der;
a;Hassat Caster;einen;Hassati-Anwender;der;
a;Zaurask Lightning;einen;Zauraskerblitz;der;
a;Zaurask Whacker;einen;Zauraskerschläger;der;
a;Zaurask Seer;einen;Zauraskerseher;der;
a;Zaurask Leader;einen;Zauraskeranführer;der;
a;Droc;einen;Droc;der;
a;Droc Spatter;einen;Droc-Spucker;der;
a;Droc Superior;einen;Obersten Droc;der;
a;Hassat Fighter;einen;Hassati-Kämpfer;der;
a;Hassat Ranger;einen;Hassati-Waldläufer;der;
a;Hassat Mage;einen;Hassati-Magier;der;
a;Ztrool;einen;Ztrool;der;
a;Zaurask Slasher;einen;Zauraskerschlitzer;der;
a;Zaurask Ranger;einen;Zaurasker-Waldläufer;der;
a;Zaurask Fighter;einen;Zauraskerkämpfer;der;
a;Zaurask Mage;einen;Zauraskermagier;der;
;;;;;
a;Weathered Automaton;einen;Abgenutzten Automaton;der;
a;Rusted Automaton;einen;Rostigen Automaton;der;
an;Ancient Scorpiot;einen;Alten Scorpiot;der;
;;;;;
a;Mummy;eine;Mami;die;
a;Slime Zombie;einen;Schleimzombie;der;
a;Living Dead;eine;Lebende Tote;die;
a;Dark Acolyte;einen;Finsteren Akolythen;der;
a;Ghastly Necron;einen;Üblen Necron;der;
a;Rahk;einen;Rahk;der;
a;Scaly Rahk;einen;Schuppigen Rahk;der;
a;Noctiss;einen;Noctiss;der;
